Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Time,Acc_X_global,Acc_Y_global,Acc_Z_global,Gyr_X_global,Gyr_Y_global,Gyr_Z_global,Acc_Global_Mag,Acc_Local_Mag,Gyr_Global_Mag
9.64154,-0.149181,1.855122,0.013694,0.005609,0.004264,0.393081,-0.550993,-0.320425,-0.662739,-2.581971,-79.183732,-116.518843,0.12,0.011869651117801402,0.006195904339054494,-0.04052991732662575,-4.7532466926053945e-05,2.128957605829061e-05,-6.491839341162942e-06,0.013389467810075141,1.8611105839377196,5.24854783616347e-05
9.648151,-0.140747,1.83398,0.010728,0.007507,0.005986,0.393132,-0.550942,-0.320484,-0.662722,-2.565475,-79.181734,-116.524721,0.13,0.02075650698127752,0.010848264333605421,-0.0708420903391189,-8.638079704297411e-05,3.9206844189258866e-05,-3.9058457497386405e-06,0.02342044878125946,1.8393728165896657,9.494247921810899e-05
9.613531,-0.09938,1.840865,0.01391,0.009139,0.009892,0.393205,-0.550887,-0.320538,-0.662698,-2.559132,-79.178735,-116.518906,0.14,0.034548665385045994,0.018076129544706436,-0.11786995269165071,-0.00014890693509166098,6.926834195454553e-05,5.86157819061152e-06,0.03899175219459731,1.8435455873465674,0.00016433422228619529
9.629037,-0.07128,1.830712,0.01565,0.009065,0.008448,0.393281,-0.550824,-0.320604,-0.662673,-2.546989,-79.175781,-116.517483,0.15,0.055026777983226006,0.02881680304209758,-0.18767425982213753,-0.00024477456401759805,0.00011765482872992619,2.868981198535158e-05,0.06211565368554283,1.8320991417890027,0.0002730940336683105
9.665497,-0.10239,1.858131,0.018981,0.009808,0.008958,0.393367,-0.550756,-0.320676,-0.662644,-2.53543,-79.172412,-116.513975,0.16,0.0842417794237212,0.04414955488385539,-0.2872301106381053,-0.0003853860010305999,0.00019248185463106632,7.264206350479836e-05,0.0951097292442653,1.860949898643432,0.0004368621104453986
9.628615,-0.072298,1.832887,0.02038,0.015947,0.008852,0.393468,-0.550662,-0.320743,-0.66263,-2.520881,-79.165509,-116.512241,0.17,0.12443529492561427,0.06525282545286974,-0.4241511676305045,-0.0005833599589108197,0.00030383980312588706,0.0001478587681712259,0.14050649042947194,1.8343123386089404,0.000674158499871598
9.599883,-0.07049,1.853801,0.020085,0.014484,0.008499,0.393562,-0.550575,-0.32081,-0.662614,-2.506019,-79.159481,-116.511577,0.18,0.17792380630792723,0.09334206613486021,-0.6062890153077004,-0.0008516897125958892,0.0004635980824669445,0.0002660674933084602,0.2009219305138825,1.8551406921581448,0.0010055299396856086
9.588471,-0.102308,1.812037,0.02371,0.01669,0.009363,0.393675,-0.550473,-0.320886,-0.662595,-2.491009,-79.15214,-116.508369,0.19,0.24695189461654923,0.12959121146251834,-0.8412264257924739,-0.0012026103434168796,0.0006849321528564586,0.00043966978610113314,0.27888908250956396,1.8149228678467302,0.0014521409067029495
9.588163,-0.102791,1.81364,0.018859,0.01631,0.008776,0.393781,-0.550376,-0.320954,-0.662579,-2.477111,-79.14492,-116.505361,0.2,0.33352372915543743,0.17504289709475276,-1.1356968784563513,-0.0016462505508166962,0.0009815665138329854,0.000680425176427386,0.37666708607611815,1.8165505881425377,0.0020338613811808205
9.616337,-0.105699,1.795674,0.021155,0.013554,0.011624,0.393889,-0.550293,-0.321021,-0.662551,-2.470729,-79.139319,-116.494859,0.21,0.4392250777950356,0.23051421704247121,-1.4949735662206525,-0.0021891865142365857,0.0013667670367160402,0.000997816287697098,0.4960397899591913,1.7987821971759115,0.002766988809294771
9.609298,-0.1151,1.818853,0.022967,0.014657,0.012057,0.394009,-0.550202,-0.321092,-0.662521,-2.465088,-79.13305,-116.4822,0.22,0.5650501284021703,0.2965058517838894,-1.9222780491171667,-0.002833045810736069,0.0018521555611403298,0.0013972365778072203,0.638120182841288,1.8224912196246652,0.003661816331106009
9.606848,-0.127234,1.787793,0.01993,0.015379,0.011901,0.394118,-0.550116,-0.32115,-0.6625,-2.459993,-79.126398,-116.471103,0.23,0.7112481163754989,0.3731226755192213,-2.418260895652907,-0.003573323325624569,0.002446452166448231,0.0018781850967316623,0.8031776976698976,1.7923147886476305,0.0047203121771506595
9.584886,-0.117212,1.786835,0.016151,0.014068,0.014435,0.394223,-0.550046,-0.321191,-0.662475,-2.465239,-79.120432,-116.451707,0.24,0.8772040677270029,0.4600134334890943,-2.9806038285090843,-0.004398565450485357,0.0031542709872643343,0.0024326749504249667,0.9905045862726864,1.7906752832853308,0.00593419842082535
9.591391,-0.109678,1.766471,0.016445,0.015532,0.014789,0.394332,-0.549971,-0.32123,-0.662454,-2.470703,-79.11362,-116.43189,0.25,1.0613659491728706,0.5563358244286544,-3.6037853343544373,-0.005290053274623986,0.003975100911428669,0.0030440610264414673,1.1983351900058428,1.7698726105358542,0.007283707739681822
9.564758,-0.097141,1.820034,0.010667,0.018441,0.014826,0.394431,-0.549897,-0.321245,-0.66245,-2.479012,-79.105117,-116.412308,0.26,1.2612273497705786,0.6607514602045848,-4.279040141283125,-0.006222072408745904,0.004902592325508952,0.0036864679718168663,1.4238282621060057,1.8226245183901701,0.008737256015308689
9.586178,-0.109212,1.823732,0.014971,0.008214,0.013025,0.394519,-0.549846,-0.321298,-0.662414,-2.480987,-79.102538,-116.396902,0.27,1.4733707867545593,0.7714528911962225,-4.994528500763964,-0.007162801589864328,0.005924246755352313,0.004324954080400022,1.6631178667180386,1.8269990883325584,0.010252202399076706
9.54511,-0.102307,1.733172,0.016596,0.014638,0.011394,0.394623,-0.549763,-0.321355,-0.662393,-2.476336,-79.096224,-116.385938,0.28,1.6935721846948275,0.8862223999151352,-5.735715151651571,-0.00807579112510088,0.0070215709473967465,0.004916485540898256,1.9114332023074603,1.7361889021166446,0.011776786104003324
9.589935,-0.088337,1.891444,0.000969,0.017685,0.013643,0.39469,-0.549709,-0.321341,-0.662404,-2.486932,-79.088208,-116.369923,0.29,1.9169624109654915,1.0025198023360027,-6.485941604060176,-0.008921942900440646,0.008170714785036058,0.005411724764169869,2.1632824224151705,1.8935056986196264,0.013253241495583618
9.520245,-0.079642,1.821094,-0.004444,0.023238,0.015906,0.394768,-0.549646,-0.321301,-0.66243,-2.506284,-79.076831,-116.346353,0.3,2.1382373526265552,1.1175942680945827,-7.227160337988565,-0.009661852793952527,0.00934356783481395,0.0057575630698847025,2.412690598532121,1.8228346620031122,0.014622010525214316
9.53134,-0.075623,1.746993,0.000434,0.019191,0.021962,0.394863,-0.549601,-0.321259,-0.662431,-2.541591,-79.06774,-116.30548,0.31,2.351904249654223,1.2286133555320955,-7.940786890809905,-0.01025833911661357,0.010509246510524315,0.005900258477969761,2.6534777890409087,1.7486290001535487,0.01582690221607708
9.446002,-0.095861,1.687328,0.01266,0.014222,0.01733,0.394969,-0.549542,-0.321281,-0.662406,-2.557395,-79.0616,-116.277141,0.32,2.5525491547154595,1.3328011869197847,-8.6086165864103,-0.010678960682003621,0.011635866888630709,0.005788979923201171,2.8795600690198135,1.6900488486742031,0.016820995453567484
