Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Time,Acc_X_global,Acc_Y_global,Acc_Z_global,Gyr_X_global,Gyr_Y_global,Gyr_Z_global,Acc_Global_Mag,Acc_Local_Mag,Gyr_Global_Mag
9.459032,-0.064478,2.425331,-0.030555,-0.01323,0.01831,0.409255,-0.528019,-0.310903,-0.676052,-2.715977,-75.560832,-115.516514,0.0,1.6298963606210024e-09,9.229269485086324e-10,-4.108039861962011e-09,5.585919842161042e-12,4.745508491538173e-12,1.5966498416183086e-11,1.873060676713129e-09,2.426187930075698,1.7568478107118055e-11
9.485951,-0.111351,2.337934,-0.020072,-0.010538,0.018269,0.409236,-0.528108,-0.310862,-0.676012,-2.747983,-75.568662,-115.490779,0.01,3.16122312160333e-08,1.7852319226746676e-08,-7.968185988156871e-08,1.0847110605693871e-10,9.2546451843326e-11,3.0467205709953075e-10,3.630479946549243e-08,2.3405842077475016,3.3638651723168754e-10
9.473079,-0.155616,2.367905,-0.008363,-0.024346,0.012687,0.409202,-0.528217,-0.310899,-0.675931,-2.763642,-75.584787,-115.476044,0.02,3.0480978063286155e-07,1.7165631752904876e-07,-7.682925164674348e-07,1.0527038407707421e-09,8.918689536938572e-10,2.8846212488328634e-09,3.498212310839449e-07,2.3730129431760374,3.1976015005241846e-09
9.491596,-0.169556,2.4881,-0.010328,-0.024966,0.01195,0.409165,-0.528326,-0.310937,-0.67585,-2.777614,-75.601045,-115.463168,0.03,1.956842970099114e-06,1.0989135899091823e-06,-4.931768260671018e-06,6.8379532321677534e-09,5.6865593725139795e-09,1.8151365608130447e-08,2.244291756370684e-06,2.4938706556547796,2.021303132492652e-08
9.450292,-0.175126,2.481671,-0.025958,-0.025998,0.013442,0.409089,-0.528473,-0.31092,-0.675789,-2.804489,-75.61793,-115.446443,0.04,9.45174242536546e-06,5.293087884043491e-06,-2.3815336971801667e-05,3.3578460248659775e-08,2.7104832376390217e-08,8.580270271132694e-08,1.0832922699976279e-05,2.4878424524308205,9.604316073199271e-08
9.46411,-0.134431,2.44777,-0.038933,-0.020955,0.007259,0.408967,-0.52862,-0.310866,-0.675773,-2.824014,-75.632023,-115.444756,0.05,3.679221534608622e-05,2.054860762574635e-05,-9.267117486473576e-05,1.3342047643132492e-07,1.0346980674251256e-07,3.2653677371806705e-07,4.21415754977156e-05,2.4514586814101107,3.67604800062103e-07
9.483617,-0.153136,2.41194,-0.041454,-0.022027,0.008039,0.408832,-0.52878,-0.310799,-0.675761,-2.847139,-75.646793,-115.441977,0.06,0.00012069445379306113,6.723653815634249e-05,-0.0003038546007708943,4.4807035135340683e-07,3.308949907428133e-07,1.0468348495263719e-06,0.00013815897813625674,2.4167964742807784,1.1858000408346905e-06
9.479784,-0.126057,2.427782,-0.033943,-0.027606,0.012725,0.408731,-0.528947,-0.310761,-0.675709,-2.876831,-75.664535,-115.426845,0.07,0.0003443523564693557,0.0001913779745214311,-0.0008664054187094778,1.3110238305514672e-06,9.153039812440407e-07,2.9198250510221587e-06,0.00039395948337097274,2.4310524072452653,3.3289552701908725e-06
9.480426,-0.128014,2.425173,-0.027937,-0.026614,0.012713,0.408647,-0.529102,-0.310738,-0.675649,-2.904771,-75.681917,-115.410412,0.08,0.0008747602641568708,0.0004851079850832588,-0.002199397160938531,3.4174097304994013e-06,2.243042519402144e-06,7.259167353627767e-06,0.001000267602664076,2.4285492920929155,8.33099271863402e-06
9.470855,-0.170822,2.419987,-0.023023,-0.023597,0.013393,0.408583,-0.529234,-0.310727,-0.675589,-2.929349,-75.697342,-115.394103,0.09,0.0020145691376149983,0.0011150277390329433,-0.005061269041731245,8.07250855575862e-06,4.960788703772442e-06,1.639138856484355e-05,0.002302558505020829,2.4260084987182133,1.8932840199768132e-05
9.456839,-0.184735,2.433223,-0.025107,-0.023347,0.014889,0.408517,-0.52937,-0.310705,-0.675532,-2.957227,-75.712494,-115.375705,0.1,0.004266341969824606,0.0023572506802966102,-0.010709564095115936,1.751413413997186e-05,1.0047612961703395e-05,3.411736255156196e-05,0.004874249129173203,2.4402256428359244,3.9644594188562965e-05
9.473245,-0.205499,2.431553,-0.036263,-0.022678,0.016362,0.40843,-0.529531,-0.310639,-0.675489,-2.996055,-75.7273,-115.352521,0.11,0.008403440904925416,0.004635979612044016,-0.02107649446248771,3.5283336266501644e-05,1.8857139533825892e-05,6.623683203663574e-05,0.009597402044608816,2.4402212667727494,7.738102769893086e-05
9.462224,-0.218496,2.410611,-0.040972,-0.019698,0.018534,0.408338,-0.529699,-0.310543,-0.675457,-3.043176,-75.740611,-115.324271,0.12,0.015538396585170616,0.008560621920159961,-0.038937469476303846,6.65977440512328e-05,3.310791676675743e-05,0.00012109118315685917,0.017740519048155413,2.4204929033849694,0.00014210724226328532
9.469765,-0.182327,2.445934,-0.05586,-0.017206,0.023719,0.408232,-0.529892,-0.31038,-0.675444,-3.109286,-75.752051,-115.284527,0.13,0.027177237361064276,0.014955166079939016,-0.06804399552284483,0.00011866759035935084,5.4806066924236196e-05,0.00021006022957236451,0.031020303400485727,2.452720177126816,0.00024740857305556943
9.500611,-0.19274,2.429023,-0.058955,-0.021667,0.028358,0.408123,-0.530117,-0.310201,-0.675416,-3.188498,-75.765955,-115.233822,0.14,0.04524746521322538,0.024873111359916954,-0.1131905530733411,0.0002008892060889622,8.60953474326854e-05,0.0003479322402636553,0.05163336883203411,2.436657842646152,0.00041088407828424587
9.457768,-0.169827,2.407288,-0.052922,-0.014803,0.023676,0.408028,-0.530296,-0.310044,-0.675405,-3.252705,-75.775997,-115.19431,0.15,0.07208844153001634,0.03959181920653727,-0.18018783673217656,0.00032485521611163725,0.0001290440532197794,0.0005530588103998508,0.08224509438446598,2.413270959687909,0.0006542609012215432
9.458112,-0.173379,2.405682,-0.055888,-0.017191,0.023748,0.407917,-0.530494,-0.309875,-0.675394,-3.320276,-75.787543,-115.154136,0.16,0.11039585299827274,0.06058172547423864,-0.27572200284173903,0.0005041336937790944,0.0001853932326574249,0.000847213272837553,0.1259261284271547,2.4119216742599665,0.0010031409480180948
9.442642,-0.158048,2.403463,-0.052593,-0.017386,0.016996,0.407797,-0.530671,-0.309742,-0.675388,-3.369692,-75.799264,-115.12969,0.17,0.16311633722437177,0.0894482491298397,-0.4070905050309051,0.0007537882340357517,0.0002563037834888076,0.0012550958722022556,0.18603206374678757,2.408653890178703,0.0014863223000481948
9.443016,-0.160952,2.401802,-0.055661,-0.015972,0.016967,0.407669,-0.530848,-0.309596,-0.675393,-3.41978,-75.81007,-115.10644,0.18,0.2332937119126235,0.12784716698216306,-0.5818183818153148,0.0010896352035108853,0.0003421484450805876,0.0018034684442845537,0.26602791981920854,2.4071888985927132,0.002134682380292539
9.389919,-0.177944,2.377356,-0.054578,-0.017993,0.016276,0.40754,-0.53103,-0.309459,-0.675391,-3.468907,-75.822153,-115.083468,0.19,0.323873901147535,0.17737733420949567,-0.8071728558254864,0.0015272611390411846,0.0004423960043552838,0.002519948576591148,0.369265517664174,2.3840062117939205,0.002979661329775357
9.429699,-0.115744,2.347539,-0.055025,-0.019308,0.015567,0.407411,-0.531216,-0.309327,-0.675383,-3.518415,-75.83503,-115.059663,0.2,0.43748089719463934,0.2394575359411847,-1.0896071063768253,0.0020808499765772657,0.0005556273793003007,0.003431538523439944,0.4987278285089477,2.3503906122295923,0.004051433702715882
9.412632,-0.132042,2.395265,-0.059182,-0.023573,0.008922,0.407236,-0.531414,-0.309205,-0.675388,-3.554409,-75.850554,-115.052959,0.21,0.5761803147538782,0.315196606029371,-1.4341745335980345,0.0027618939047892458,0.0006797063483592708,0.00456299887557105,0.6567592066825654,2.3989017299566484,0.005376896632796147
9.433745,-0.118568,2.308733,-0.057547,-0.025136,0.006713,0.407054,-0.531611,-0.309098,-0.675392,-3.583949,-75.867018,-115.052125,0.22,0.7412498029467172,0.40526746824319465,-1.843961523216297,0.003577880713966981,0.0008121034207832542,0.0059351959879949505,0.8448035222374465,2.3117756024132188,0.006977628091646623
9.447097,-0.140603,2.34135,-0.056973,-0.018789,0.000548,0.406864,-0.531776,-0.308997,-0.675424,-3.599042,-75.880106,-115.065668,0.23,0.9329764759056728,0.5097962658375962,-2.3195888797334816,0.004531062629243395,0.0009503435699156435,0.007563554432833287,1.0631732395312277,2.3455679538459333,0.008867978186116503
9.418452,-0.166045,2.370391,-0.058398,-0.018938,-0.001693,0.406656,-0.531945,-0.308892,-0.675464,-3.610267,-75.893519,-115.085112,0.24,1.1505005037119447,0.6282771853837429,-2.8588294653163726,0.005617415493367209,0.0010925221703371062,0.009456733534114782,1.3108713250030135,2.3761995780880865,0.011053450622002666
9.427502,-0.158846,2.42173,-0.060378,-0.019546,-0.002418,0.406446,-0.532115,-0.308788,-0.675504,-3.620665,-75.907148,-115.105507,0.25,1.3917211685557378,0.7595220011778778,-3.456382409105147,0.006825892010053813,0.0012378131349560124,0.011615624395749348,1.5854846203225677,2.4269339184691456,0.013529512673896038
9.448071,-0.207329,2.401692,-0.060812,-0.017915,-0.005454,0.406229,-0.532273,-0.308689,-0.675555,-3.624074,-75.919828,-115.133011,0.26,1.6532773116154302,0.9016509196312881,-4.10383322712248,0.00813805812729161,0.001386882518975,0.014032735093704226,1.883162300486682,2.4106243542088843,0.016280942460886398
9.450148,-0.175502,2.349835,-0.060694,-0.015824,-0.010006,0.405998,-0.532419,-0.308597,-0.675621,-3.616775,-75.931604,-115.171834,0.27,1.9306085903356895,1.0521282208032758,-4.789815350934288,0.00952817758848002,0.0015421219980664804,0.016692000608394056,2.198686726682231,2.356379740031093,0.019281783961168142
9.477928,-0.184393,2.36758,-0.065298,-0.0137,-0.010036,0.405756,-0.53257,-0.308482,-0.6757,-3.612456,-75.942378,-115.210823,0.28,2.2180978401038183,1.2078427620967882,-5.500373161228598,0.010963777286707896,0.001707630452329706,0.019569023558612966,2.5256369822725557,2.374749636245682,0.02249593512596898
9.469652,-0.193174,2.312886,-0.063224,-0.01394,-0.011529,0.405515,-0.532713,-0.308382,-0.675777,-3.602786,-75.953129,-115.253582,0.29,2.509288629064104,1.3652299343741967,-6.21951101414057,0.012406687846528921,0.0018888975461012357,0.022631724150754304,2.856638268605562,2.3209390003341324,0.025878345683151994
9.440947,-0.217562,2.342321,-0.05654,-0.013354,-0.015311,0.405275,-0.532839,-0.308306,-0.675857,-3.581806,-75.963859,-115.305349,0.3,2.797166329153616,1.5204284390872995,-6.9298982597933145,0.013814513625005975,0.0020921780309337604,0.025841354673980913,3.183683732932051,2.3524032160505564,0.02937675283272596
9.4703,-0.193035,2.310243,-0.056535,-0.010402,-0.017625,0.405037,-0.532947,-0.308237,-0.675946,-3.553756,-75.972798,-115.363099,0.31,3.0744861540686514,1.6694625431813916,-7.613688070031618,0.015142448434323271,0.0023235852951604,0.02915381633939686,3.498509724817916,2.3182936031214854,0.03293383974518168
9.400962,-0.251267,2.351781,-0.052815,-0.012203,-0.021347,0.404795,-0.533043,-0.308197,-0.676033,-3.513289,-75.982746,-115.431006,0.32,3.3341279944311517,1.8084384680013432,-8.253398965036912,0.016345321925482326,0.0025879722921226854,0.032521204427320635,3.7930013413913444,2.3651657399112644,0.03648966822041586
9.453494,-0.20578,2.357496,-0.046251,-0.013709,-0.020576,0.40457,-0.533136,-0.308178,-0.676103,-3.472916,-75.993661,-115.49538,0.33,3.5694557590653146,1.9337424179380307,-8.832802899178564,0.01737974021282933,0.0028877021093410716,0.035893500884790125,4.059602708992268,2.3664599718600776,0.03998421687496404
9.450894,-0.206921,2.390597,-0.044824,-0.01061,-0.020644,0.404356,-0.533213,-0.30816,-0.676178,-3.430586,-76.00271,-115.560217,0.34,3.7746584362598203,2.0422275263575447,-9.337762934602631,0.01820617532407682,0.0032214343803281236,0.03922033044304189,4.291705905562482,2.399535437673301,0.04335985216140828
9.464138,-0.226617,2.424066,-0.046804,-0.011217,-0.021369,0.404131,-0.533297,-0.308136,-0.676258,-3.388216,-76.012203,-115.626969,0.35000000000000003,3.945051224494071,2.1313776942235774,-9.756966851132402,0.01879086235572617,0.0035830640106047544,0.0424526957452019,4.483993759955068,2.434635750383412,0.04656357193998997
9.431315,-0.157759,2.406912,-0.043292,-0.008361,-0.022942,0.403918,-0.533359,-0.308124,-0.676341,-3.339336,-76.019935,-115.697675,0.36,4.0773177329287345,2.199437856740018,-10.082510150518933,0.019107380195004426,0.0039609436273864386,0.04554460828998126,4.632714839153845,2.4120765489148557,0.04954888895448222
9.435813,-0.185136,2.3875,-0.039228,-0.005039,-0.026031,0.403706,-0.5334,-0.308125,-0.676435,-3.280951,-76.026022,-115.776454,0.37,4.169678193925356,2.245502507981139,-10.310292182198962,0.019137819323556668,0.004337501262495601,0.04845453558820085,4.73587349432459,2.394667323136139,0.05227726145018953
9.466354,-0.190186,2.371755,-0.038914,-0.005822,-0.02075,0.403512,-0.533451,-0.308115,-0.676516,-3.234229,-76.032285,-115.843036,0.38,4.221973549394327,2.2695571607846823,-10.440201712559906,0.018873475310717248,0.004689332555508066,0.05114659197287337,4.793323519005822,2.3793680872494276,0.05471902576398812
9.50559,-0.187084,2.409169,-0.029594,-0.007953,-0.025249,0.403324,-0.533483,-0.308152,-0.676585,-3.172377,-76.039977,-115.919695,0.39,4.235660792900743,2.2724705952275484,-10.476082212567867,0.018315044991596835,0.004987806121749935,0.05359141236171906,4.806760339219171,2.416422085153378,0.05685383506744464
9.497234,-0.19311,2.354816,-0.01118,-0.013467,-0.027464,0.403172,-0.533495,-0.308268,-0.676613,-3.097157,-76.050966,-115.999085,0.4,4.213720661386017,2.255939005666101,-10.425481423560557,0.017472339609617082,0.005200176122817151,0.055766665643860146,4.779613228021403,2.3627208607780985,0.05867065263124489
9.455708,-0.194255,2.349579,0.001209,-0.017007,-0.031949,0.40303,-0.533486,-0.308446,-0.676624,-3.003126,-76.063993,-116.090708,0.41000000000000003,4.16048426835757,2.222386243929796,-10.299203372017411,0.016363561690701276,0.00529115181758822,0.057657186589836505,4.716845340315836,2.3575954874121217,0.060167379901549446
9.422876,-0.186646,2.397636,0.005934,-0.014065,-0.03879,0.402881,-0.533444,-0.308653,-0.676652,-2.888859,-76.075266,-116.20031,0.42,4.081390185031006,2.17482704876154,-10.110693028601705,0.015014217947622446,0.0052248336345845844,0.059254730028282104,4.624674965280508,2.4048898348598007,0.061350213184734666
9.511405,-0.138492,2.476274,-0.010397,-0.005844,-0.040388,0.402696,-0.533408,-0.308791,-0.676728,-2.780381,-76.082061,-116.313659,0.43,3.9826874992493972,2.1167022688880537,-9.875293485455616,0.013455758628607761,0.004966891784826305,0.06055737503503522,4.510235937486336,2.4801437371934716,0.06223281389594588
9.563568,-0.156277,2.392394,-0.024767,0.001791,-0.02696,0.402536,-0.533393,-0.308833,-0.676815,-2.710821,-76.08403,-116.394538,0.44,3.871103282762005,2.0516965094702426,-9.609422295053982,0.011724044925471558,0.004486838316358074,0.06156862638903358,4.3811983740505465,2.3974927636939802,0.06283534596804585
9.559194,-0.12787,2.255021,-0.02675,0.002938,-0.015707,0.402405,-0.533397,-0.308832,-0.67689,-2.667654,-76.085066,-116.45025,0.45,3.7534945296940485,1.9835493051979542,-9.329717134014821,0.009857750526384712,0.0037602280295504307,0.06229627345740075,4.2453726609797675,2.258643497177233,0.06318338584591607
9.479793,-0.161824,2.384609,-0.015364,-0.011232,-0.012459,0.402296,-0.533432,-0.30889,-0.676901,-2.627865,-76.094115,-116.495544,0.46,3.636504937293109,1.9158708560960929,-9.052201126323855,0.007896800174984295,0.0027706195046551976,0.06275107408332657,4.110319853271219,2.390093531612728,0.06330665908144535
9.505991,-0.201941,2.453238,0.002534,0.002277,-0.015079,0.402244,-0.533381,-0.308988,-0.676928,-2.569394,-76.095492,-116.549735,0.47000000000000003,3.52624591881701,1.851972611379658,-8.791515122481675,0.005880935701021172,0.0015111371999313216,0.06294533720524284,3.982990438511497,2.461535466355299,0.06323752379907273
9.458239,-0.209932,2.362111,0.002758,0.003535,-0.021864,0.40217,-0.533315,-0.309102,-0.676972,-2.494938,-76.096322,-116.62049,0.48,3.4280190849825902,1.7947216417232597,-8.56025833904322,0.003848478375483051,-1.4498306962450408e-05,0.06289148744819052,3.869410887754712,2.3714214768667756,0.06300912782647743
9.466919,-0.199697,2.415563,-0.002073,-0.000317,-0.024763,0.402069,-0.533267,-0.309216,-0.677018,-2.416942,-76.099389,-116.697514,0.49,3.3460942936368774,1.7464259129086641,-8.3684705394977,0.0018353285980018197,-0.0017915620320671597,0.06260070874234228,3.7744337974308326,2.4238035190126284,0.06265322705672036
9.4583,-0.205785,2.362234,-0.005368,-0.000166,-0.017991,0.401987,-0.533235,-0.3093,-0.677053,-2.358142,-76.102188,-116.756277,0.5,3.2835534946908136,1.708755398721737,-8.223279019118806,-0.00012578475309552202,-0.0037945727405318905,0.06208177730550241,3.7015629894892963,2.3711804943911376,0.06219776264060704
9.466943,-0.132403,2.34986,0.005817,-0.003776,-0.017218,0.401927,-0.533195,-0.309427,-0.677062,-2.293344,-76.107018,-116.815045,0.51,3.242206275636855,1.6827016041852016,-8.128722748269963,-0.002005817250135559,-0.005988171819402912,0.06134019850789469,3.652860005872995,2.353587171533912,0.06166442619182926
9.467097,-0.130722,2.349336,0.010858,-0.007525,-0.01416,0.40189,-0.533161,-0.309571,-0.677044,-2.234593,-76.113942,-116.864181,0.52,3.2225785409976955,1.6685756758713886,-8.085754865252015,-0.003779713091122165,-0.008328552334363007,0.060377749929593556,3.628933347281057,2.3529700130218405,0.061066551413993884
9.49765,-0.135099,2.333543,0.01799,-0.005602,-0.017236,0.40186,-0.533102,-0.309743,-0.67703,-2.162846,-76.119786,-116.92292,0.53,3.2239714201770537,1.6660430085337299,-8.092414014223003,-0.005426538892554598,-0.010765316773401774,0.059192502460778125,3.629006892305741,2.3374504642130924,0.06040771239794897
9.49049,-0.106333,2.386299,0.01152,-0.001998,-0.022535,0.401802,-0.533039,-0.309898,-0.677043,-2.084702,-76.123853,-116.992138,0.54,3.2445835423840497,1.6741902495666054,-8.144145460428815,-0.006929487949535968,-0.013243619297975873,0.05777934651754609,3.65105948393796,2.3886669136340464,0.059681355039468975
