Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Time,Acc_X_global,Acc_Y_global,Acc_Z_global,Gyr_X_global,Gyr_Y_global,Gyr_Z_global,Acc_Global_Mag,Acc_Local_Mag,Gyr_Global_Mag
9.532252,-0.197271,2.215434,-0.003155,-0.015541,-0.000924,0.402915,-0.539748,-0.315832,-0.668268,-3.369078,-77.395435,-115.127244,0.0,1.5164817354142703e-09,8.008980300336866e-10,-4.188036153136219e-09,5.6410486643551045e-12,-3.7759063950065475e-12,2.8035625258200588e-12,1.714979448377419e-09,2.2241995539512636,7.344308134443734e-12
9.55623,-0.180711,2.194973,-0.003155,-0.015542,-0.000923,0.402869,-0.539789,-0.315909,-0.668226,-3.347328,-77.40656,-115.146727,0.01,2.9400760900808153e-08,1.552797042545334e-08,-8.123487259946513e-08,1.0940203172756948e-10,-7.3228517459738e-11,5.4370136431849475e-11,3.324940010105811e-08,2.2023993589378836,1.424336057645428e-10
9.506624,-0.164386,2.2081,-0.003056,-0.018443,-0.001915,0.402823,-0.53983,-0.315999,-0.668178,-3.322811,-77.418856,-115.167925,0.02,2.8334245116696316e-07,1.4966728753994522e-07,-7.832702642091772e-07,1.0556707965705908e-09,-7.070135684675063e-10,5.243292154461361e-10,3.2044225937423977e-07,2.214210551640471,1.3744926856478734e-09
9.50548,-0.133824,2.1683,0.000453,-0.012591,-0.005886,0.402775,-0.539846,-0.316095,-0.668149,-3.28575,-77.428452,-115.200977,0.03,1.8178592270990669e-06,9.60460629460709e-07,-5.027874625302912e-06,6.78520979323342e-09,-4.5517181504379296e-09,3.3652439842698718e-09,2.0559904645433738e-06,2.172425776171881,8.836406347202542e-09
9.505301,-0.129324,2.201267,0.00408,-0.015284,-0.003317,0.402741,-0.539865,-0.3162,-0.668104,-3.253503,-77.439159,-115.227202,0.04,8.773474260144872e-06,4.6370396934454476e-06,-2.4278990306594494e-05,3.2811740998184044e-08,-2.2079625967208737e-08,1.623037850306811e-08,9.92350682531197e-06,2.2050626073345403,4.2749800192943655e-08
9.530001,-0.127575,2.200041,0.004019,-0.014293,-0.0014,0.402715,-0.539886,-0.3163,-0.668055,-3.226066,-77.449575,-115.248297,0.05,3.411936732077377e-05,1.8041208027023452e-05,-9.447289527690869e-05,1.2783226333027483e-07,-8.643304526962914e-08,6.295753024566285e-08,3.859554914033768e-05,2.2037367770008287,1.6665956161395612e-07
9.528353,-0.093034,2.194545,0.000527,-0.01641,-0.004035,0.402667,-0.539916,-0.316397,-0.668015,-3.193939,-77.460946,-115.276587,0.06,0.000111801690794119,5.9149729495113316e-05,-0.00030975273997205883,4.194682217333394e-07,-2.854556957482392e-07,2.0523748133498295e-07,0.00012648442024126478,2.1965161238153934,5.473216303271494e-07
9.554281,-0.110452,2.178184,0.008751,-0.013102,0.000506,0.402662,-0.539926,-0.316505,-0.667958,-3.16844,-77.470617,-115.292918,0.07,0.00031857852358164595,0.00016865645695201344,-0.0008831960135088702,1.196352408412108e-06,-8.206093860981798e-07,5.799716758619943e-07,0.000360468134734636,2.1809826184910324,1.562378313491343e-06
9.532195,-0.146167,2.180762,0.003935,-0.014219,0.003361,0.402651,-0.539954,-0.316589,-0.667902,-3.153677,-77.48053,-115.301402,0.08,0.0008081658848543071,0.0004281628222203473,-0.0022419586457969737,3.036070188735906e-06,-2.1014503174924372e-06,1.453863964210622e-06,0.0009145794114094402,2.1856549802137115,3.968316526469401e-06
9.556098,-0.129532,2.160469,0.011192,-0.013043,-0.001879,0.402645,-0.539955,-0.316711,-0.667847,-3.120565,-77.490238,-115.324098,0.09,0.0018584410158032916,0.0009854083334976062,-0.005159101083335978,6.981273299552885e-06,-4.879636981307674e-06,3.291278400654341e-06,0.002103528605212323,2.16434859460878,9.131349706533493e-06
9.583419,-0.176924,2.183019,0.010983,-0.004419,-0.003664,0.402647,-0.539924,-0.316819,-0.66782,-3.081872,-77.494712,-115.352707,0.1,0.003929584405247022,0.0020854842068202335,-0.010916430743308917,1.475577564444992e-05,-1.0418160472180743e-05,6.82466199542546e-06,0.0044486939628229335,2.1901767180154663,1.9309246330327224e-05
9.6059,-0.140568,2.178731,0.0146,-0.00429,-0.004863,0.402654,-0.539884,-0.316943,-0.667789,-3.037822,-77.499497,-115.384606,0.11,0.007727753382262862,0.004105220618906707,-0.021483528664670914,2.9000806594394293e-05,-2.0680867143884033e-05,1.3110785033327127e-05,0.008750486196033445,2.1832608943928347,3.795573386378612e-05
9.533619,-0.15912,2.197208,0.008556,-0.000743,-0.007887,0.402636,-0.539841,-0.317044,-0.667787,-2.988933,-77.50206,-115.425777,0.12,0.014265879367545042,0.007586310859980777,-0.03968968750523881,5.350115560118992e-05,-3.851651581836707e-05,2.355231181631587e-05,0.016157581087328933,2.202962135322348,7.000433581816364e-05
9.531606,-0.124188,2.193272,0.00478,0.003022,-0.003781,0.402632,-0.539798,-0.317118,-0.667788,-2.952275,-77.502618,-115.455867,0.13,0.024911143057173714,0.01326159200787597,-0.06935964983726549,9.336340413791371e-05,-6.780317953985468e-05,3.9863659847068e-05,0.02822117770395725,2.1967850885619193,0.00012207828539234942
9.5081,-0.13347,2.124783,0.00114,0.001978,0.000261,0.402627,-0.539773,-0.317167,-0.667788,-2.928089,-77.503338,-115.475886,0.14,0.04140809959603491,0.022068514385110212,-0.11538219265944087,0.00015510468246086444,-0.00011351520483324219,6.396298388717014e-05,0.046921743779626976,2.128970887069384,0.00020256956226780197
9.484389,-0.149742,2.144303,0.001053,0.008616,-0.005359,0.402616,-0.539717,-0.317222,-0.667814,-2.888756,-77.500734,-115.510902,0.15,0.06586752525964606,0.035144341854516634,-0.18368342928971154,0.00024661077381432,-0.00018167768992868204,9.777849394708236e-05,0.07465691962716679,2.149525069026412,0.00032153427602306985
9.509113,-0.152072,2.110679,0.00114,0.001977,0.000261,0.402612,-0.53969,-0.317273,-0.667814,-2.864065,-77.501395,-115.531185,0.16,0.10071377689447468,0.05379902258901505,-0.28108407908012106,0.00037692727883258635,-0.0002791825589900239,0.00014296734424998488,0.1141823089969868,2.1161502154206824,0.0004903638815147892
9.48392,-0.138184,2.091606,0.010751,0.00329,-0.002606,0.402628,-0.539637,-0.317363,-0.667805,-2.82698,-77.501752,-115.558207,0.17,0.14858747958224308,0.07946380364682086,-0.41503106380700516,0.0005558574824975601,-0.00041345433343668565,0.00020055896535003506,0.16850143969303052,2.0961656606986003,0.0007212114289640561
9.483868,-0.137576,2.091881,0.009636,0.002226,-0.005709,0.402632,-0.539579,-0.317462,-0.667803,-2.781022,-77.502293,-115.594533,0.18,0.21220518683921788,0.11361626928182535,-0.5932072708787648,0.0007933559476314215,-0.0005919703288025301,0.0002705508900739507,0.2407066637361492,2.0964000748752607,0.0010261775255502982
9.505036,-0.100383,2.244785,-0.01215,0.008086,-0.004137,0.402588,-0.539553,-0.31747,-0.667846,-2.752507,-77.499939,-115.626218,0.19,0.2941826945827979,0.15768523486217692,-0.8230375220711582,0.0010987275005716706,-0.0008216569779333174,0.00035150117781404685,0.3337785060268795,2.247028358279886,0.0014162893023332644
9.530878,-0.122362,2.196534,-0.014812,0.012914,0.003072,0.402571,-0.539525,-0.31744,-0.667893,-2.743016,-77.494205,-115.639806,0.2,0.39683332829670304,0.21294148704466082,-1.1111219876060776,0.0014796659802793779,-0.00110819966048228,0.0004401735790498637,0.45035626713950627,2.1999395610334394,0.0019003343601542175
9.555161,-0.114535,2.110111,-0.002835,0.011544,0.006349,0.402594,-0.539485,-0.317444,-0.66791,-2.735815,-77.489583,-115.644193,0.21,0.5219562198799126,0.2803824253775748,-1.462638931516584,0.0019411933974930818,-0.0014553167055699062,0.000531295983640265,0.5924969197657816,2.1132171442012293,0.002483637240462837
9.481836,-0.119053,2.110553,0.012969,0.008238,-0.000164,0.402627,-0.539417,-0.317519,-0.66791,-2.703628,-77.486805,-115.665932,0.22,0.6706319265018538,0.36062000171665326,-1.8807655376770798,0.0024845841466712773,-0.0018640580188175081,0.0006174879183056725,0.7614420309397865,2.1139081301272293,0.0031668852218957296
9.554671,-0.121416,2.199184,0.025181,-0.000843,0.002058,0.402691,-0.539355,-0.317653,-0.667857,-2.670828,-77.489386,-115.680098,0.23,0.8430434585084047,0.45378183046503057,-2.366167865958588,0.003106376083613064,-0.002332193524296992,0.0006894000017912728,0.9574132976901908,2.2025331123304364,0.003945119943688134
